title,wordsInTitle,url,imdbRating,ratingCount,duration,year,type,nrOfWins,Nominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,genre
der rasende gockel (1983),der rasende gockel,http://www.imdb.com/title/tt0086379/,4.5,2125,5760,1983.0,video.movie,1,4,6,13,16,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Comedy
superman iii - der stählerne blitz (1983),superman iii der st hlerne blitz,http://www.imdb.com/title/tt0086393/,4.9,38733,7500,1983.0,video.movie,1,5,44,195,206,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
comeback der liebe (1983),comeback der liebe,http://www.imdb.com/title/tt0086423/,7.5,6058,5520,1983.0,video.movie,10,10,18,144,63,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Drama
die tausendjährige biene (1983),die tausendj hrige biene,http://www.imdb.com/title/tt0086447/,7.9,372,9720,1983.0,video.movie,1,1,0,0,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Comedy
unheimliche schattenlichter (1983),unheimliche schattenlichter,http://www.imdb.com/title/tt0086491/,6.5,21518,6060,1983.0,video.movie,3,6,12,201,115,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Fantasy
die heilquelle (1917),die heilquelle,http://www.imdb.com/title/tt0007832/,7.3,1740,1440,1917.0,video.movie,0,0,0,0,18,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Comedy
die verwegenen sieben (1983),die verwegenen sieben,http://www.imdb.com/title/tt0086508/,6.3,5836,6300,1983.0,video.movie,0,0,9,30,41,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Action
valley girl - das mädchen und der heiße typ (1983),valley girl das m dchen und der hei e typ,http://www.imdb.com/title/tt0086525/,6.3,8591,5940,1983.0,video.movie,0,0,22,151,72,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Comedy
der vierte mann (1983),der vierte mann,http://www.imdb.com/title/tt0086543/,7.3,4503,6120,1983.0,video.movie,4,2,9,23,43,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Drama
auf liebe und tod (1983),auf liebe und tod,http://www.imdb.com/title/tt0086551/,7.3,3322,6600,1983.0,video.movie,0,2,24,3,19,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Comedy
diebe der nacht (1984),diebe der nacht,http://www.imdb.com/title/tt0086557/,6.6,78,5880,1984.0,video.movie,0,0,0,0,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Crime
xtro - nicht alle außerirdischen sind freundlich (1983),xtro nicht alle au erirdischen sind freundlich,http://www.imdb.com/title/tt0086610/,5.4,2967,4860,1983.0,video.movie,1,0,8,10,69,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Horror
kapitän dotterbart (1983),kapit n dotterbart,http://www.imdb.com/title/tt0086618/,6.1,5157,5760,1983.0,video.movie,0,0,18,6,66,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
black fury (1935),black fury,http://www.imdb.com/title/tt0026121/,6.7,435,5640,1935.0,video.movie,0,1,0,0,13,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Crime
yentl (1983),yentl,http://www.imdb.com/title/tt0086619/,6.6,8120,7920,1983.0,video.movie,5,14,31,82,61,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Drama
'allo 'allo! (tv series 1982–1992),allo allo tv series,http://www.imdb.com/title/tt0086659/,8.4,13058,2700,1992.0,video.tv,1,5,39,0,38,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Comedy
charles in charge (tv series 1984–1990),charles in charge tv series,http://www.imdb.com/title/tt0086681/,6.1,2756,1800,1990.0,video.tv,2,13,2,80,28,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
finder of lost loves (tv series 1984–1985),finder of lost loves tv series,http://www.imdb.com/title/tt0086712/,6.4,52,3600,1985.0,video.tv,0,0,2,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drama
g.i. joe (tv series 1985–1986),g i joe tv series,http://www.imdb.com/title/tt0086719/,7.8,2636,1800,1986.0,video.tv,0,0,19,199,21,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Action
kate & allie (tv series 1984–1989),kate allie tv series,http://www.imdb.com/title/tt0086742/,7.0,875,1800,1989.0,video.tv,5,25,4,0,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
mord ist ihr hobby (tv series 1984– ),mord ist ihr hobby tv series,http://www.imdb.com/title/tt0086765/,6.8,9438,5580,1984.0,video.tv,25,54,48,17,51,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
the new scooby-doo mysteries (tv series 1984–1985),the new scooby doo mysteries tv series,http://www.imdb.com/title/tt0086767/,7.2,1129,1800,1985.0,video.tv,0,0,7,0,7,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Comedy
punky brewster (tv series 1984–1988),punky brewster tv series,http://www.imdb.com/title/tt0086787/,6.4,2372,1800,1988.0,video.tv,2,13,18,124,25,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
trio mit vier fäusten (tv series 1984–1986),trio mit vier f usten tv series,http://www.imdb.com/title/tt0086789/,6.7,999,3600,1986.0,video.tv,0,0,2,11,12,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Crime
